Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
JFK,"New York, NY: John F. Kennedy International",2009/05,5,May,2009,476,556,2131,6,157,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,114,3326,20,7504,10964,35954,33209,114764,208,194206,10071
JFK,"New York, NY: John F. Kennedy International",2009/06,6,June,2009,567,757,2083,1,156,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,283,3562,43,7092,10980,45000,57242,126440,35,243954,15237
JFK,"New York, NY: John F. Kennedy International",2009/07,7,July,2009,588,726,1769,2,98,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,395,3184,66,7765,11410,45770,55880,117507,102,227920,8661
JFK,"New York, NY: John F. Kennedy International",2009/08,8,August,2009,573,657,1761,2,113,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,307,3104,50,7835,11296,45844,47104,97628,84,200428,9768
JFK,"New York, NY: John F. Kennedy International",2009/09,9,September,2009,485,159,995,2,32,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,15,1673,17,7723,9428,32117,8709,41223,66,84274,2159
JFK,"New York, NY: John F. Kennedy International",2009/10,10,October,2009,339,337,926,1,32,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,44,1633,20,7826,9523,22080,18968,44673,23,88758,3014
JFK,"New York, NY: John F. Kennedy International",2009/11,11,November,2009,286,207,588,1,27,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,13,1109,14,8164,9300,23536,11018,21203,43,57290,1490
JFK,"New York, NY: John F. Kennedy International",2009/12,12,December,2009,516,764,944,4,110,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,500,2338,21,6995,9854,37350,52546,53707,292,156122,12227
JFK,"New York, NY: John F. Kennedy International",2010/01,1,January,2010,461,477,1009,3,58,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",8,210,2007,18,7327,9562,33727,35415,59514,193,133503,4654
JFK,"New York, NY: John F. Kennedy International",2010/02,2,Febuary,2010,502,529,796,1,86,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,887,1914,15,6078,8894,31286,37041,39006,46,116652,9273
JFK,"New York, NY: John F. Kennedy International",2010/03,3,March,2010,557,486,1669,3,61,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,450,2779,63,6788,10080,38075,36183,74775,153,154109,4923
JFK,"New York, NY: John F. Kennedy International",2010/04,4,April,2010,383,292,723,6,16,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,79,1419,34,7729,9261,28583,17766,32913,234,80776,1280
JFK,"New York, NY: John F. Kennedy International",2010/05,5,May,2010,462,364,1309,3,44,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.",9,213,2182,44,6805,9244,31137,23990,75515,181,134050,3227
JFK,"New York, NY: John F. Kennedy International",2010/06,6,June,2010,594,421,1015,0,55,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.",9,218,2085,31,6801,9135,40166,28341,52885,0,125886,4494
JFK,"New York, NY: John F. Kennedy International",2010/07,7,July,2010,675,664,1056,2,82,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.",9,204,2476,33,7140,9853,46222,45937,59323,157,159149,7510
JFK,"New York, NY: John F. Kennedy International",2010/08,8,August,2010,523,515,853,6,50,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.",9,130,1945,18,7734,9827,31974,32817,37335,118,105476,3232
JFK,"New York, NY: John F. Kennedy International",2010/09,9,September,2010,346,332,994,1,35,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.",9,237,1707,75,6840,8859,25666,22588,65206,25,116981,3496
JFK,"New York, NY: John F. Kennedy International",2010/10,10,October,2010,433,437,978,3,22,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.",9,117,1871,28,6980,8996,31657,29454,48458,61,112089,2459
JFK,"New York, NY: John F. Kennedy International",2010/11,11,November,2010,377,348,526,4,26,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.",9,66,1282,17,7451,8816,25147,20595,17824,110,65343,1667
JFK,"New York, NY: John F. Kennedy International",2010/12,12,December,2010,612,658,1059,7,66,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.",9,1038,2401,25,6026,9490,44222,47891,72459,207,170858,6079
JFK,"New York, NY: John F. Kennedy International",2011/01,1,January,2011,438,583,624,4,34,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,516,1683,10,5429,7638,26234,36684,32436,105,98153,2694
JFK,"New York, NY: John F. Kennedy International",2011/02,2,Febuary,2011,341,468,657,3,24,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,326,1493,15,5158,6992,24065,30802,34282,150,91215,1916
JFK,"New York, NY: John F. Kennedy International",2011/03,3,March,2011,410,489,682,2,24,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,88,1606,30,6440,8164,26227,32672,48412,53,109995,2631
JFK,"New York, NY: John F. Kennedy International",2011/04,4,April,2011,422,587,1090,3,46,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,183,2145,65,5613,8006,31279,42678,73158,89,152012,4808
JFK,"New York, NY: John F. Kennedy International",2011/05,5,May,2011,385,504,1104,2,42,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,111,2037,28,5911,8087,25452,34329,52194,103,115620,3542
JFK,"New York, NY: John F. Kennedy International",2011/06,6,June,2011,449,527,1002,7,52,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,174,2034,64,5855,8127,32316,39375,65635,244,143095,5525
JFK,"New York, NY: John F. Kennedy International",2011/07,7,July,2011,497,581,822,2,49,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,143,1950,37,6478,8608,34425,40937,42762,92,121654,3438
JFK,"New York, NY: John F. Kennedy International",2011/08,8,August,2011,488,695,1026,2,70,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,834,2280,81,5367,8562,38227,62916,71586,93,179480,6658
JFK,"New York, NY: John F. Kennedy International",2011/09,9,September,2011,352,389,953,3,28,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,55,1725,16,5881,7677,25771,26529,42896,103,97206,1907
JFK,"New York, NY: John F. Kennedy International",2011/10,10,October,2011,327,379,549,2,14,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,110,1273,23,6396,7802,21509,24509,28707,84,75483,674
JFK,"New York, NY: John F. Kennedy International",2011/11,11,November,2011,268,265,416,1,19,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,18,971,9,6270,7268,16559,15552,14591,23,48037,1312
JFK,"New York, NY: John F. Kennedy International",2011/12,12,December,2011,281,275,524,1,7,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,37,1088,22,6326,7473,17151,16215,29419,15,63594,794
JFK,"New York, NY: John F. Kennedy International",2012/01,1,January,2012,333,364,378,1,23,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",8,51,1099,6,6451,7607,20807,22368,12809,55,57444,1405
JFK,"New York, NY: John F. Kennedy International",2012/02,2,Febuary,2012,255,276,232,2,9,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",8,31,771,5,6506,7313,16671,15783,8183,41,41116,438
JFK,"New York, NY: John F. Kennedy International",2012/03,3,March,2012,416,453,612,3,43,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",8,50,1527,15,6660,8252,25549,29617,19501,207,77144,2270
JFK,"New York, NY: John F. Kennedy International",2012/04,4,April,2012,285,270,217,1,25,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",8,18,799,5,7142,7964,17087,16781,6368,40,41098,822
JFK,"New York, NY: John F. Kennedy International",2012/05,5,May,2012,313,363,453,2,56,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",8,33,1188,14,6769,8004,19335,24173,19591,98,66562,3365
JFK,"New York, NY: John F. Kennedy International",2012/06,6,June,2012,401,592,595,9,49,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",9,104,1644,54,6446,8248,28730,52572,33155,470,118210,3283
JFK,"New York, NY: John F. Kennedy International",2012/07,7,July,2012,445,635,927,5,80,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",9,132,2089,52,6518,8791,32188,51299,64836,194,155004,6487
JFK,"New York, NY: John F. Kennedy International",2012/08,8,August,2012,467,651,777,3,61,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",9,92,1961,38,6667,8758,32709,54565,53515,147,145364,4428
JFK,"New York, NY: John F. Kennedy International",2012/09,9,September,2012,379,452,680,1,45,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",9,36,1556,33,6388,8013,27945,31795,39446,32,101323,2105
JFK,"New York, NY: John F. Kennedy International",2012/10,10,October,2012,359,394,417,1,21,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",9,756,1190,16,6199,8161,22875,23169,14330,48,61888,1466
JFK,"New York, NY: John F. Kennedy International",2012/11,11,November,2012,343,364,455,2,36,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",9,247,1197,52,6383,7879,20849,26018,17227,39,67570,3437
JFK,"New York, NY: John F. Kennedy International",2012/12,12,December,2012,476,705,778,3,31,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",9,63,1996,15,6038,8112,34669,53358,39075,87,129515,2326
JFK,"New York, NY: John F. Kennedy International",2013/01,1,January,2013,419,467,592,2,40,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",10,107,1519,18,7528,9172,29540,31661,31185,112,96323,3825
JFK,"New York, NY: John F. Kennedy International",2013/02,2,Febuary,2013,413,632,739,2,37,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",10,406,1820,29,6158,8413,24385,41946,41714,45,111063,2973
JFK,"New York, NY: John F. Kennedy International",2013/03,3,March,2013,438,633,933,3,34,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",10,189,2038,17,7453,9697,29973,44205,47235,150,123651,2088
JFK,"New York, NY: John F. Kennedy International",2013/04,4,April,2013,454,693,942,3,51,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",10,200,2142,23,6862,9227,32803,46409,62842,71,146010,3885
JFK,"New York, NY: John F. Kennedy International",2013/05,5,May,2013,451,559,1560,2,87,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,Hawaiian Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",10,116,2660,25,6592,9393,32512,41183,95682,62,174363,4924
JFK,"New York, NY: John F. Kennedy International",2013/06,6,June,2013,515,849,1468,3,82,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",10,267,2918,42,6235,9462,37323,71752,106416,154,222256,6611
JFK,"New York, NY: John F. Kennedy International",2013/07,7,July,2013,604,1056,1703,6,89,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",10,236,3458,18,6311,10023,43580,87266,99245,416,237476,6969
JFK,"New York, NY: John F. Kennedy International",2013/08,8,August,2013,495,782,1080,7,44,"Endeavor Air Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",10,97,2411,34,7447,9989,30576,53928,58735,207,146200,2754
JFK,"New York, NY: John F. Kennedy International",2013/09,9,September,2013,344,376,731,1,42,"Endeavor Air Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",10,108,1496,24,7312,8940,21610,27488,37858,61,89846,2829
JFK,"New York, NY: John F. Kennedy International",2013/10,10,October,2013,307,333,664,4,21,"Endeavor Air Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",10,39,1327,6,7809,9181,23016,20243,26898,132,71606,1317
JFK,"New York, NY: John F. Kennedy International",2013/11,11,November,2013,332,319,576,16,21,"Endeavor Air Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",10,53,1265,8,7375,8701,19897,20217,24726,2070,68342,1432
JFK,"New York, NY: John F. Kennedy International",2013/12,12,December,2013,621,908,884,2,67,"Endeavor Air Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",10,189,2481,15,6466,9151,39323,61305,44802,70,151354,5854
JFK,"New York, NY: John F. Kennedy International",2014/01,1,January,2014,582,764,619,1,98,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",9,774,2065,79,4964,7882,43752,72913,36458,94,168682,15465
JFK,"New York, NY: John F. Kennedy International",2014/02,2,Febuary,2014,397,693,523,4,48,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",9,481,1664,47,5069,7261,26940,53055,35018,115,123157,8029
JFK,"New York, NY: John F. Kennedy International",2014/03,3,March,2014,404,487,556,0,19,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",9,180,1466,13,6772,8431,25642,28217,27824,19,83281,1579
JFK,"New York, NY: John F. Kennedy International",2014/04,4,April,2014,352,470,821,1,28,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",9,121,1670,42,6376,8209,20780,29877,45107,44,97124,1316
JFK,"New York, NY: John F. Kennedy International",2014/05,5,May,2014,467,526,977,4,53,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",9,154,2029,61,6233,8477,32105,35045,55459,106,126412,3697
JFK,"New York, NY: John F. Kennedy International",2014/06,6,June,2014,473,531,1067,3,60,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",9,134,2135,17,6295,8581,31843,36698,56114,167,129086,4264
JFK,"New York, NY: John F. Kennedy International",2014/07,7,July,2014,512,765,1183,5,75,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",9,326,2540,72,6147,9085,35536,56900,89640,145,190237,8016
JFK,"New York, NY: John F. Kennedy International",2014/08,8,August,2014,476,564,884,6,58,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",9,54,1990,11,6993,9048,29973,32614,39189,294,106326,4256
JFK,"New York, NY: John F. Kennedy International",2014/9,9,September,2014,339,337,808,5,46,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",9,43,1534,9,6697,8283,22625,20467,34173,248,79574,2061
JFK,"New York, NY: John F. Kennedy International",2014/10,10,October,2014,366,441,944,1,35,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",9,30,1789,22,6795,8636,22378,25834,42206,26,92703,2259
JFK,"New York, NY: John F. Kennedy International",2014/11,11,November,2014,336,395,601,1,20,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",8,50,1354,8,6655,8067,20643,24711,27209,24,74428,1841
JFK,"New York, NY: John F. Kennedy International",2014/12,12,December,2014,454,511,1016,5,33,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",8,33,2018,8,6531,8590,27341,30394,44111,155,103398,1397
JFK,"New York, NY: John F. Kennedy International",2015/1,1,January,2015,434,616,902,2,53,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",8,469,2009,10,5973,8461,28916,42013,44585,204,119853,4135
JFK,"New York, NY: John F. Kennedy International",2015/2,2,Febuary,2015,518,857,701,5,48,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",8,488,2131,46,5070,7735,39165,68486,39531,367,153070,5521
JFK,"New York, NY: John F. Kennedy International",2015/3,3,March,2015,466,742,1120,3,45,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",8,406,2379,57,5999,8841,31595,59472,92133,152,189080,5728
JFK,"New York, NY: John F. Kennedy International",2015/4,4,April,2015,402,474,1055,2,33,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",8,101,1967,19,6509,8596,27820,38552,76160,151,145579,2896
JFK,"New York, NY: John F. Kennedy International",2015/5,5,May,2015,332,386,792,1,41,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",8,84,1551,21,7222,8878,24663,31043,62091,26,121386,3563
JFK,"New York, NY: John F. Kennedy International",2015/6,6,June,2015,381,482,993,2,55,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",8,112,1912,17,6803,8844,26423,40059,75149,101,145894,4162
JFK,"New York, NY: John F. Kennedy International",2015/7,7,July,2015,433,590,799,5,66,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,Virgin America",7,102,1894,20,7221,9237,34189,43686,52956,258,135534,4445
JFK,"New York, NY: John F. Kennedy International",2015/8,8,August,2015,435,600,602,5,69,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,Virgin America",7,82,1710,20,7384,9196,30898,43942,37414,216,117260,4790
JFK,"New York, NY: John F. Kennedy International",2015/9,9,September,2015,357,387,710,5,46,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,Virgin America",8,42,1505,10,6488,8045,22020,24130,38355,185,87936,3246
JFK,"New York, NY: John F. Kennedy International",2015/10,10,October,2015,402,368,706,2,20,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,Virgin America",8,38,1498,12,6737,8285,26023,24641,39625,80,91870,1501
JFK,"New York, NY: John F. Kennedy International",2015/11,11,November,2015,361,314,436,7,24,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,Virgin America",7,55,1144,6,6540,7745,21923,21748,25379,685,73035,3300
